feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
"Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",900.71,43.221,18770.621,0.0,0.0
Brain death,783.364,32.926,18637.786,0.0,0.0
Cardiac arrest due to other underlying condition,220.001,160.399,301.748,0.0,0.0
"Transient visual loss, unspecified eye",102.861,49.178,215.146,0.0,0.0
Encounter for palliative care,95.289,80.902,112.235,0.0,0.0
Chronic nephritic syndrome with unspecified morphologic changes,71.506,31.862,160.475,0.0,0.0
Atrophy of kidney (terminal),54.649,34.409,86.793,0.0,0.0
Patient age,39.132,35.427,43.225,0.0,0.0
"Chronic osteomyelitis with draining sinus, left femur",37.896,18.098,79.353,0.0,0.0
Benign neoplasm of unspecified part of small intestine,31.154,18.026,53.842,0.0,0.0
"Nontraumatic intracranial hemorrhage, unspecified",29.961,16.616,54.025,0.0,0.0
Unspecified viral hepatitis B with hepatic coma,29.659,10.157,86.604,0.0,0.0
"Postprocedural cardiogenic shock, initial encounter",29.473,16.041,54.15,0.0,0.0
"Acute maxillary sinusitis, unspecified",29.337,9.625,89.414,0.0,0.0
Influenza due to identified avian influenza virus with other respiratory manifestations,28.988,13.166,63.823,0.0,0.0
Other difficulties with micturition,26.247,13.276,51.894,0.0,0.0
"Diverticulum of esophagus, acquired",23.92,13.604,42.058,0.0,0.0
Non-pressure chronic ulcer of other part of right foot with other specified severity,23.422,6.33,86.663,0.0,0.0
"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",23.158,10.012,53.568,0.0,0.0
"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified",22.663,19.113,26.872,0.0,0.0
Dissection of thoracoabdominal aorta,20.548,10.564,39.967,0.0,0.0
Non-pressure chronic ulcer of right thigh with fat layer exposed,19.761,8.475,46.076,0.0,0.0
Personal history of lymphoid leukemia,19.04,6.867,52.792,0.0,0.0
"Acute myeloid leukemia with multilineage dysplasia, in relapse",18.636,11.288,30.768,0.0,0.0
Compression of brain,18.262,14.507,22.988,0.0,0.0
Other specified diseases of pulmonary circulation,17.982,6.91,46.794,0.0,0.0
Other pulmonary embolism with acute cor pulmonale,17.938,7.848,41.001,0.0,0.0
Acute and chronic respiratory failure,17.854,12.432,25.64,0.0,0.0
Ventricular fibrillation,17.682,12.437,25.141,0.0,0.0
"Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck",17.182,9.605,30.737,0.0,0.0
